order_id,customer_id,full_name,phone_number,country_code,city,product_id,product_name,category,quantity,unit_price,amount,payment_mode,order_date,order_time,customer_signup_date,source_row_valid_hint,normalized_country_code,normalized_phone,normalized_order_date,normalized_order_time,validation_status,validation_reason
ORD000134,374484,Sahil Ram,7950512724,IN,Chennai,P1008,Backpack,Fashion,5,1237,6185,WALLET,17-03-2023,16:22,2023-04-25,VALID,IN,7950512724,2023-03-17,16:22:00,VALID,
ORD000245,528764,Elakshi Hari,8038513406,IN,Kolkata,P1006,Water Bottle,Lifestyle,4,654,2616,NETBANKING,2023-07-04,07:01:57,2024-06-25,VALID,IN,8038513406,2023-07-04,07:01:57,VALID,
ORD000286,750120,Riya Ratta,96144385,SG,Bangalore,P1003,Bluetooth Speaker,Electronics,1,1880,1880,CASH,08-02-2023,08:49,2025-04-08,VALID,SG,96144385,2023-02-08,08:49:00,VALID,
ORD000045,305198,Hazel Solanki,9372814066,IN,Pune,P1004,Office Chair,Home & Office,1,5931,5931,CARD,12-08-2023,11:10,2023-09-23,VALID,IN,9372814066,2023-08-12,11:10:00,VALID,
ORD000362,595936,Myra Wason,8017479522,IN,Chennai,P1007,Notebook Set,Stationery,2,358,716,UPI,05/04/2024,11:23:35,2024-01-13,VALID,IN,8017479522,2024-04-05,11:23:35,VALID,
ORD000086,179868,Yuvaan Dutt,7271864211,IN,Ahmedabad,P1001,Wireless Earbuds,Electronics,3,2163,6489,NETBANKING,06/08/2023,00:03:50,2024-09-29,VALID,IN,7271864211,2023-08-06,00:03:50,VALID,
ORD000187,732429,Divyansh Bhardwaj,8157814264,IN,Delhi,P1007,Notebook Set,Stationery,2,447,894,CARD,11-04-2023,02:21:38,2023-11-10,VALID,IN,8157814264,2023-04-11,02:21:38,VALID,
ORD000013,583064,Tarini Vyas,9205613992,IN,Ahmedabad,P1005,Mechanical Keyboard,Electronics,3,4252,12756,WALLET,25/07/2023,21:41:23,2024-10-13,VALID,IN,9205613992,2023-07-25,21:41:23,VALID,
ORD000036,474993,Charvi Ahluwalia,7866106217,IN,Pune,P1004,Office Chair,Home & Office,4,5480,21920,NETBANKING,05/01/2025,12:15,2024-02-01,VALID,IN,7866106217,2025-01-05,12:15:00,VALID,
ORD000029,628023,Indranil Andra,9038756159,IN,Mumbai,P1004,Office Chair,Home & Office,3,3891,11673,CASH,24-07-2023,07:14,2023-09-17,VALID,IN,9038756159,2023-07-24,07:14:00,VALID,
ORD000171,254818,Kartik Sane,7930216039,IN,Bangalore,P1004,Office Chair,Home & Office,1,5947,5947,CASH,24/07/2024,05:40:43,2023-09-01,VALID,IN,7930216039,2024-07-24,05:40:43,VALID,
