order_id,customer_id,full_name,phone_number,country_code,city,product_id,product_name,category,quantity,unit_price,amount,payment_mode,order_date,order_time,customer_signup_date,source_row_valid_hint,normalized_country_code,normalized_phone,normalized_order_date,normalized_order_time,validation_status,validation_reason
ORD000234,997966,Inaaya  Chaudhuri,99973435,SG,Mumbai,P1004,Office Chair,Home & Office,4,5703,-22812,CASH,2024-12-11,00:48:42,2024-05-28,MAYBE_INVALID,SG,99973435,2024-12-11,00:48:42,INVALID,amount must be > 0
ORD000010,209910,Priyansh Agrawal,7802905101,IN,Kolkata,P1009,LED Lamp,Home & Office,2,986,1972,CASH,99/99/9999,05:32,2023-11-24,MAYBE_INVALID,IN,7802905101,,05:32:00,INVALID,order_date: Invalid format: 99/99/9999
ORD000290,973631,Miraya Gade,7994038627,IN,Chennai,P1008,Backpack,Fashion,3,1736,5208,COD,2023-06-02,02:46,2023-07-05,MAYBE_INVALID,IN,7994038627,2023-06-02,02:46:00,INVALID,payment_mode not allowed for IN
ORD000151,682461,Reyansh Shan,7230468901,IN,Delhi,P1010,Fitness Band,Electronics,4,1974,7896,NETBANKING,01-11-2023,22:45:31,2024-10-14,VALID,IN,7230468901,2023-11-01,22:45:31,INVALID,duplicate transaction
ORD000141,625925,Samaira Barad,8064951089,IN,Chennai,P1006,Water Bottle,Lifestyle,5,681,3405,WALLET,12-11-2023,24:60:60,2024-12-31,MAYBE_INVALID,IN,8064951089,2023-11-12,,INVALID,order_time: Invalid time format: 24:60:60
ORD000102,260398,Rasha Seshadri,8496435124,IN,Bangalore,P1008,Backpack,Fashion,4,1810,7240,UPI,28-04-2023,aa:bb,2025-03-22,MAYBE_INVALID,IN,8496435124,2023-04-28,,INVALID,order_time: Invalid time format: aa:bb
ORD000259,507076,Saanvi Bahri,98935800577,IN,Pune,P1004,Office Chair,Home & Office,2,5702,11404,UPI,14-03-2025,21:16:05,2025-04-02,MAYBE_INVALID,IN,98935800577,2025-03-14,21:16:05,INVALID,Phone length should be 10 digits
ORD000026,718874,Azad Andra,7350316294,IN,Ahmedabad,P1005,Mechanical Keyboard,Electronics,0,4145,20725,CARD,2024-12-08,11:37,2025-03-28,MAYBE_INVALID,IN,7350316294,2024-12-08,11:37:00,INVALID,quantity must be > 0
ORD000032,486172,Hansh Borde,8578254940,IN,Kolkata,P1005,Mechanical Keyboard,Electronics,5,4277,21385,CHEQUE,05/12/2023,03:46:57,2024-04-25,MAYBE_INVALID,IN,8578254940,2023-12-05,03:46:57,INVALID,payment_mode not allowed for IN
ORD000193,744145,Prisha Jani,8126259700,IN,Chennai,P1008,Backpack,Fashion,0,1817,5451,WALLET,27-09-2024,10:28:21,2023-07-05,MAYBE_INVALID,IN,8126259700,2024-09-27,10:28:21,INVALID,quantity must be > 0
ORD000249,318191,Mehul Golla,9363915228,IN,Bangalore,P1010,Fitness Band,Electronics,3,2729,8187,CHEQUE,01-04-2025,04:37,2024-02-19,MAYBE_INVALID,IN,9363915228,2025-04-01,04:37:00,INVALID,payment_mode not allowed for IN
ORD000046,370147,Parinaaz Sheth,7962001833,IN,Pune,P1003,Bluetooth Speaker,Electronics,4,1728,6912,APPLEPAY,2025-01-02,22:53,2025-04-12,MAYBE_INVALID,IN,7962001833,2025-01-02,22:53:00,INVALID,payment_mode not allowed for IN
ORD000383,472103,Armaan Bhasin,9580339257,IN,Bangalore,P1002,Smart Watch,Electronics,1,3775,3775,WALLET,2025/04/31,00:39:54,2025-02-06,MAYBE_INVALID,IN,9580339257,,00:39:54,INVALID,order_date: Invalid format: 2025/04/31
ORD000358,823959,Elakshi Kaur,8425448560,IN,Pune,P1002,Smart Watch,Electronics,1,3079,-3079,WALLET,30-11-2023,08:11:35,2024-08-17,MAYBE_INVALID,IN,8425448560,2023-11-30,08:11:35,INVALID,amount must be > 0
ORD000368,819049,Arnav Venkatesh,8137046227,IN,Pune,P1005,Mechanical Keyboard,Electronics,0,3434,6868,NETBANKING,30-11-2023,17:59:17,2025-03-29,MAYBE_INVALID,IN,8137046227,2023-11-30,17:59:17,INVALID,quantity must be > 0
ORD000079,474303,Akarsh Doctor,7336225326,IN,Ahmedabad,P1002,Smart Watch,Electronics,2,3645,7290,UPI,30-10-2023,05:12:08,2025-01-01,VALID,IN,7336225326,2023-10-30,05:12:08,INVALID,duplicate transaction
ORD000267,156259,Hrishita Gopal,7344359134,IN,Delhi,P1004,Office Chair,Home & Office,0,6048,12096,UPI,07-11-2023,15:54,2024-08-28,MAYBE_INVALID,IN,7344359134,2023-11-07,15:54:00,INVALID,quantity must be > 0
ORD000119,931756,Nitara Singh,88636575,SG,Kolkata,P1003,Bluetooth Speaker,Electronics,4,1976,-7904,COD,14/01/2025,03:49,2024-10-10,MAYBE_INVALID,SG,88636575,2025-01-14,03:49:00,INVALID,payment_mode not allowed for SG; amount must be > 0
ORD000061,136596,Onkar Ahuja,9387224925,IN,Hyderabad,P1005,Mechanical Keyboard,Electronics,4,2585,10340,WALLET,10-09-2024,99:00:00,2025-03-28,MAYBE_INVALID,IN,9387224925,2024-09-10,,INVALID,order_time: Invalid time format: 99:00:00
ORD000025,718874,Azad Andra,7350316294,IN,Ahmedabad,P1004,Office Chair,Home & Office,2,6603,13206,CASH,2023-10-11,99:00:00,2025-03-28,MAYBE_INVALID,IN,7350316294,2023-10-11,,INVALID,order_time: Invalid time format: 99:00:00
ORD000233,918434,Lavanya Bhatnagar,7772310524,IN,Kolkata,P1005,Mechanical Keyboard,Electronics,5,3311,-16555,CASH,08/11/2023,14:23:37,2025-03-29,MAYBE_INVALID,IN,7772310524,2023-11-08,14:23:37,INVALID,amount must be > 0
ORD000366,459709,Lakshit Raman,7688582689,IN,Mumbai,P1007,Notebook Set,Stationery,2,386,772,CHEQUE,2023-03-23,03:06:04,2025-04-14,MAYBE_INVALID,IN,7688582689,2023-03-23,03:06:04,INVALID,payment_mode not allowed for IN
ORD000181,917136,Aaryahi Reddy,952029434399,IN,Hyderabad,P1008,Backpack,Fashion,3,1798,-5394,UPI,2023-10-21,22:43,2024-10-29,MAYBE_INVALID,IN,952029434399,2023-10-21,22:43:00,INVALID,Phone length should be 10 digits; amount must be > 0
ORD000376,426626,Ritvik Raju,8895827031,IN,Bangalore,P1003,Bluetooth Speaker,Electronics,0,1457,4371,CARD,2025-01-01,14:15,2024-06-10,MAYBE_INVALID,IN,8895827031,2025-01-01,14:15:00,INVALID,quantity must be > 0
ORD000287,206751,Nirvi Kulkarni,9161746510,IN,Kolkata,P1010,Fitness Band,Electronics,2,1535,-3070,UPI,2024-01-25,15:44,2025-02-05,MAYBE_INVALID,IN,9161746510,2024-01-25,15:44:00,INVALID,amount must be > 0
ORD000370,353429,Indrajit Gole,8455514457,IN,Chennai,P1002,Smart Watch,Electronics,0,3646,7292,NETBANKING,2025-02-15,15:34:00,2023-12-30,MAYBE_INVALID,IN,8455514457,2025-02-15,15:34:00,INVALID,quantity must be > 0
ORD000203,479759,Badal Anand,8914214969,IN,Bangalore,P1001,Wireless Earbuds,Electronics,0,2375,7125,WALLET,13/10/2023,02:36,2023-09-28,MAYBE_INVALID,IN,8914214969,2023-10-13,02:36:00,INVALID,quantity must be > 0
ORD000299,289811,Ehsaan Sen,8615627210,IN,Mumbai,P1002,Smart Watch,Electronics,5,3618,-18090,NETBANKING,25/09/2024,16:35:13,2023-05-08,MAYBE_INVALID,IN,8615627210,2024-09-25,16:35:13,INVALID,amount must be > 0
ORD000315,512346,Dhruv Kar,7924459920,IN,Hyderabad,P1006,Water Bottle,Lifestyle,1,580,580,CASH,09/02/2025,aa:bb,2024-07-11,MAYBE_INVALID,IN,7924459920,2025-02-09,,INVALID,order_time: Invalid time format: aa:bb
ORD000313,171818,Tushar Date,6640857,SG,Kolkata,P1003,Bluetooth Speaker,Electronics,2,1087,2174,PAYNOW,22/02/2023,21:19:31,2024-08-04,MAYBE_INVALID,SG,6640857,2023-02-22,21:19:31,INVALID,Phone length should be 8 digits
ORD000091,181605,Rati Balay,9646460159,IN,Hyderabad,P1008,Backpack,Fashion,4,1554,6216,NETBANKING,10/10/2024,10:24:38,2023-12-16,VALID,IN,9646460159,2024-10-10,10:24:38,INVALID,duplicate transaction
ORD000147,251603,Jiya Sem,7351077821,IN,Mumbai,P1001,Wireless Earbuds,Electronics,4,1939,7756,CASH,05/12/2024,24:60:60,2023-05-14,MAYBE_INVALID,IN,7351077821,2024-12-05,,INVALID,order_time: Invalid time format: 24:60:60
ORD000087,773075,Navya Dada,4332746,SG,Delhi,P1004,Office Chair,Home & Office,2,6116,12232,CASH,2025-04-12,04:50,2023-07-28,VALID,SG,4332746,2025-04-12,04:50:00,INVALID,Phone length should be 8 digits
ORD000266,156259,Hrishita Gopal,7344359134,IN,Delhi,P1005,Mechanical Keyboard,Electronics,1,3393,3393,NETBANKING,25/09/2024,12:02:25,2024-08-28,VALID,IN,7344359134,2024-09-25,12:02:25,INVALID,duplicate transaction
ORD000285,603256,Indranil Dass,7017482744,IN,Bangalore,P1007,Notebook Set,Stationery,1,400,400,CARD,11-04-2025,99:00:00,2024-08-24,MAYBE_INVALID,IN,7017482744,2025-04-11,,INVALID,order_time: Invalid time format: 99:00:00
ORD000180,830696,Dishani Bala,9131620554,IN,Bangalore,P1001,Wireless Earbuds,Electronics,3,2381,7143,UPI,2025/04/31,19:40:42,2024-05-22,MAYBE_INVALID,IN,9131620554,,19:40:42,INVALID,order_date: Invalid format: 2025/04/31
ORD000118,851249,Manjari Batta,8669084740,IN,Pune,P1004,Office Chair,Home & Office,1,6466,-6466,NETBANKING,27-10-2024,04:02:18,2025-04-14,MAYBE_INVALID,IN,8669084740,2024-10-27,04:02:18,INVALID,amount must be > 0
ORD000273,716788,Ira Bera,7789001494,IN,Hyderabad,P1001,Wireless Earbuds,Electronics,0,2265,6795,NETBANKING,04-04-2025,22:41:17,2025-03-31,MAYBE_INVALID,IN,7789001494,2025-04-04,22:41:17,INVALID,quantity must be > 0
ORD000283,141005,Neelofar Gandhi,7350311370,IN,Chennai,P1007,Notebook Set,Stationery,1,424,424,NETBANKING,99/99/9999,16:12,2023-05-02,MAYBE_INVALID,IN,7350311370,,16:12:00,INVALID,order_date: Invalid format: 99/99/9999
ORD000155,463359,Miraya Manne,7388340799,SG,Mumbai,P1002,Smart Watch,Electronics,5,2688,13440,CASH,02-05-2024,09:20,2024-05-03,MAYBE_INVALID,SG,7388340799,2024-05-02,09:20:00,INVALID,Phone length should be 8 digits
ORD000337,159463,Divij Viswanathan,9460578167,IN,Delhi,P1010,Fitness Band,Electronics,3,2384,7152,CARD,31/07/2024,aa:bb,2023-11-02,MAYBE_INVALID,IN,9460578167,2024-07-31,,INVALID,order_time: Invalid time format: aa:bb
ORD000225,339825,Tara Ravi,87271154247,IN,Kolkata,P1010,Fitness Band,Electronics,3,2023,6069,UPI,05/10/2024,13:27:44,2023-11-20,MAYBE_INVALID,IN,87271154247,2024-10-05,13:27:44,INVALID,Phone length should be 10 digits
